"","V1","V2","V3","V4","V5"
"Gene1",7,6,9,9,4
"Gene2",10,7,2,3,5
"Gene3",7,6,3,4,4
"Gene4",8,3,1,6,3
"Gene5",4,5,4,8,4
"Gene6",6,3,6,5,4
"Gene7",5,6,6,6,2
"Gene8",4,9,5,8,6
"Gene9",5,7,4,3,5
"Gene10",4,5,9,3,9
"Gene11",2,2,3,3,4
"Gene12",4,8,4,5,9
"Gene13",8,4,5,9,5
"Gene14",5,7,8,8,9
"Gene15",6,7,5,5,10
"Gene16",7,3,5,3,6
"Gene17",3,6,7,2,8
"Gene18",2,3,2,7,1
"Gene19",3,6,2,4,5
"Gene20",8,3,5,5,11
"Gene21",5,5,6,6,5
"Gene22",4,2,2,5,8
"Gene23",4,6,6,5,5
"Gene24",3,5,9,4,5
"Gene25",3,4,6,4,7
"Gene26",4,2,6,10,4
"Gene27",6,8,11,3,3
"Gene28",7,3,8,5,6
"Gene29",12,5,9,7,6
"Gene30",8,9,6,4,5
"Gene31",5,5,4,5,4
"Gene32",6,3,6,3,5
"Gene33",4,2,3,4,4
"Gene34",2,10,4,3,8
"Gene35",6,4,2,1,6
"Gene36",4,4,7,11,2
"Gene37",6,6,2,4,4
"Gene38",6,7,7,6,6
"Gene39",6,5,3,4,7
"Gene40",2,4,4,6,2
"Gene41",5,9,6,5,7
"Gene42",7,7,5,7,4
"Gene43",5,4,1,9,7
"Gene44",6,4,3,4,3
"Gene45",2,11,8,10,2
"Gene46",4,6,2,8,5
"Gene47",3,9,5,2,10
"Gene48",6,3,5,7,5
"Gene49",5,2,5,6,4
"Gene50",8,7,4,3,7
"Gene51",5,4,5,6,3
"Gene52",6,7,7,4,5
"Gene53",5,4,2,4,4
"Gene54",5,9,3,4,3
"Gene55",8,4,3,4,7
"Gene56",2,8,5,2,9
"Gene57",5,3,3,5,3
"Gene58",3,6,6,8,4
"Gene59",5,3,4,2,6
"Gene60",5,5,2,5,5
"Gene61",5,3,3,11,6
"Gene62",6,8,5,5,3
"Gene63",5,2,3,5,6
"Gene64",3,10,4,4,5
"Gene65",4,4,3,8,2
"Gene66",7,3,7,6,3
"Gene67",7,5,10,7,3
"Gene68",4,5,4,4,5
"Gene69",3,6,6,2,4
"Gene70",1,6,6,6,11
"Gene71",3,6,4,2,7
"Gene72",7,9,10,6,4
"Gene73",4,6,5,2,6
"Gene74",3,5,4,2,5
"Gene75",6,2,3,6,6
"Gene76",3,5,3,10,4
"Gene77",8,9,3,3,2
"Gene78",7,4,5,5,4
"Gene79",5,2,6,11,7
"Gene80",8,4,4,5,4
"Gene81",3,6,8,8,3
"Gene82",4,3,5,6,3
"Gene83",6,10,10,6,4
"Gene84",2,3,3,9,3
"Gene85",11,5,2,5,3
"Gene86",5,10,6,3,4
"Gene87",9,2,1,8,5
"Gene88",7,3,6,3,6
"Gene89",2,5,1,7,5
"Gene90",5,6,3,8,6
"Gene91",7,4,7,2,2
"Gene92",5,11,5,2,7
"Gene93",4,4,2,6,6
"Gene94",5,3,5,10,4
"Gene95",3,1,6,3,3
"Gene96",8,4,2,4,9
"Gene97",5,5,5,5,2
"Gene98",7,6,7,4,5
"Gene99",10,9,8,5,9
"Gene100",8,7,1,3,3
"Gene101",7,4,5,4,3
"Gene102",2,5,2,1,3
"Gene103",3,1,4,7,10
"Gene104",4,13,8,2,8
"Gene105",6,6,3,2,7
"Gene106",4,4,7,7,5
"Gene107",9,4,4,4,5
"Gene108",10,2,6,3,4
"Gene109",7,3,7,5,2
"Gene110",5,2,5,2,8
"Gene111",7,6,5,8,11
"Gene112",5,3,8,2,6
"Gene113",6,4,6,0,4
"Gene114",6,7,6,7,5
"Gene115",7,7,4,3,8
"Gene116",4,6,2,8,3
"Gene117",5,2,4,3,9
"Gene118",3,2,3,3,8
"Gene119",2,4,8,7,7
"Gene120",3,3,5,2,6
"Gene121",2,5,5,7,4
"Gene122",2,8,2,11,5
"Gene123",5,1,6,4,2
"Gene124",5,3,3,8,2
"Gene125",5,7,6,6,5
"Gene126",5,3,3,2,7
"Gene127",5,7,4,2,2
"Gene128",5,8,8,3,2
"Gene129",2,6,6,2,5
"Gene130",10,6,5,5,1
"Gene131",4,7,5,5,8
"Gene132",5,6,4,3,2
"Gene133",6,3,3,3,2
"Gene134",4,7,6,5,2
"Gene135",3,6,8,6,5
"Gene136",6,9,6,9,3
"Gene137",0,2,4,3,7
"Gene138",5,5,7,3,7
"Gene139",11,6,5,5,6
"Gene140",3,4,4,7,4
"Gene141",5,2,7,3,0
"Gene142",2,6,11,1,1
"Gene143",8,7,3,7,5
"Gene144",3,6,8,3,8
"Gene145",5,5,5,3,6
"Gene146",9,9,3,2,4
"Gene147",4,6,6,8,4
"Gene148",9,6,4,5,6
"Gene149",7,10,7,1,8
"Gene150",7,5,5,5,2
"Gene151",4,5,6,2,5
"Gene152",5,5,5,2,4
"Gene153",5,6,6,9,6
"Gene154",10,3,7,8,7
"Gene155",2,3,6,4,8
"Gene156",3,6,4,2,6
"Gene157",4,4,6,1,7
"Gene158",3,4,5,5,4
"Gene159",5,4,11,1,3
"Gene160",6,6,3,4,7
"Gene161",5,4,5,4,4
"Gene162",5,5,4,4,7
"Gene163",3,2,4,7,6
"Gene164",6,14,3,3,8
"Gene165",4,1,8,5,5
"Gene166",4,3,7,4,6
"Gene167",5,5,11,6,2
